Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
County of San Luis Obispo Public Libraries,995 Palm Street,San Luis Obispo,CA,93403,'+18057815991,https://catalog.slolibrary.org,Andrew Hallmark,Systems Administrator II,ahallmark@slolibrary.org,"Library, County Government, Other, Other, We are a non-profit, Educational Governmental Organization. We are also partnered with CalREN/CENIC for fiber network services to our buildings",,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,San Luis Obispo,,"Virtually, In-Person",https://sanluisobispo.librarycalendar.com/,San Luis Obispo Public Library,"995 Palm St, San Luis Obispo, CA, 93403.0, US",'+18057815991,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/san-luis-obispo-library,Atascadero Library,"6555 Capistrano Ave, Atascadero, CA, 93422.0, US",'+18054616161,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/atascadero-library,Arroyo Grande Library,"800 W. Branch, Arroyo Grande, CA, 93420.0, US",'+18054137161,Currently closed for remodel. Temp site hours (limited services): Sunday Closed Monday Closed Tuesday 1:00 PM - 6:00 PM Wednesday 1:00 PM - 6:00 PM Thursday Closed Friday 1:00 PM - 5:00 PM Saturday 1:00 PM - 5:00 PM,https://catalog.slolibrary.org/arroyo-grande-library,Morro Bay Library,"625 Harbor St., Morro Bay, CA, 93442.0, US",'+18057726394,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 1:00 PM,https://catalog.slolibrary.org/morro-bay-library,Nipomo Library,"918 West Tefft St., Nipomo, CA, 93444.0, US",'+18059293994,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/nipomo-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, We are a non-profit, Educational Governmental Organization. We are also partnered with CalREN/CENIC for fiber network services to our buildings","English, Spanish","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,11/21/25 11:56
Ventura County Library,5600 Everglades St.,Ventura,CA,93003,'+18057013242,https://www.library.venturacounty.gov,Amanda Armitage,Technology Engagement Manager,amanda.armitage@venturacounty.gov,"Library, County Government, Other",,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Ventura,,"Virtually, In-Person",https://www.library.venturacounty.gov,Ventura County Library has 12 branches with various services. Locations link below. We will also email the team for bulk upload.,"https://www.library.venturacounty.gov/use-library/locations-hours, US",,,https://www.library.venturacounty.gov/library-services,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Korean, Japanese, French","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,11/21/25 11:19
Redwood City Public Library,1044 Middlefield Road,Redwood City,CA,94063,'+16507807035,https://www.redwoodcity.org/departments/library,Sarah LaTorra,Division Manger of Customer Experience,slatorra@redwoodcity.org,"Library, City Government, Regional Broadband Consortia",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,San Mateo,Redwood City (San Mateo County.),In-Person,,Redwood City Downtown Library,"Redwood City Downtown Library, 1044 Middlefield Road, CA, 94063.0, US",'+16507807020,"M-Th 10am-8pm, F-Sa 10am-5pm, Su 12pm-5pm",https://www.redwoodcity.org/departments/library,Redwood Shores Branch Library,"399 Marine Parkway, Redwood City, CA, 94065.0, US",'+16507805740,"M-Th 10am-8pm, F Closed, Sa 10am-5pm, Su 12pm-5pm",https://www.redwoodcity.org/departments/library,Schaberg Branch Library,"2140 Euclid Avenue, Redwood City, CA, 94061.0, US",'+16507807010,"M-Th 10am-7pm, F Closed, Sa 10am-5pm, Su Closed",https://www.redwoodcity.org/departments/library,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Digital equity grant writing, Partnership opportunities",No. Our services are offered free of cost.,11/21/25 11:14
Tulare County Library,200 W. Oaks Ave,Visalia,CA,93291,'+15597132720,https://www.tularecountylibrary.org,Faythe Arredondo,Librarian V,faythe.arredondo@tularecountylibrary.org,"Library, County Government",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Tulare,,"Virtually, In-Person",https://www.tularecountylibrary.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/21/25 10:52
Benicia Public Library,150 E L Street,Benicia,CA,94510,'+17077464343,https://www.benicialibrary.org,Jennifer Baker,City Librarian,jbaker@ci.benicia.ca.us,"Library, City Government",,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Solano,Benicia (Solano County.),"Virtually, In-Person",https://www.benicialibrary.org,Benicia Public Library,"150 E L Street, Benicia, CA, 94510.0, US",'+17077464343,"Mon-Thur: 10am to 9pm, Fri-Sun: 12pm-6pm",https://www.benicialibrary.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/21/25 10:50
Beaumont Library District,125 E. 8th St.,Beaumont,CA,92223,'+19518451357,https://mybld.org,Devon Kimler,Librarian,devon.kimler@mybld.org,"Library, Special District",,"Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Riverside,Beaumont (Riverside County.),"Virtually, In-Person",https://www.mybld.org/eresources,Beaumont Library District,"125 E. 8th St., Beaumont, CA, 92223.0, US",'+19518451357,10 AM - 5 PM Mon. Tue. Thur. Fri. / 1 PM - 5 PM Wed. Sat. Sun.,https://mybld.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish",,,11/21/25 10:38
Watsonville Public Library,"275 Main Street, Suite 100",Watsonville,CA,95076,'+18317683400,https://www.watsonvillelibrary.gov,Alicia Martinez,Library Director,alicia.martinez@watsonville.gov,"Library, City Government",,"Digital literacy & skills training, Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Santa Cruz,"Capitola (Santa Cruz County.), Santa Cruz (Santa Cruz County.), Watsonville (Santa Cruz County.)",In-Person,,Watsonville Main Library,"275 Main Street, Suite 100, Watsonville, CA, 95076.0, US",'+18317683400,"Monday - Thursday 10:00am-8:00pm, Fridays 10:00-6:00pm and Saturdays 12:00pm-4:00pm",https://watsonville.gov/1917/Online-Services,Freedom Branch Library,"2021 Freedom Blvd, Freedom, CA, 95019.0, US",'+18317683420,Tuesday - Friday 10:00am-6:00pm and Saturdays 12:00pm-4:00pm,https://watsonville.gov/1917/Online-Services,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Other","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/21/25 9:54
Mendocino County Law Library,"Courthouse, Room 307",Ukiah,CA,95482,'+17074634201,https://www.mendocinocounty.gov/government/affiliated-agencies/law-library,Daniel Helsel,Director,lawlib@pacific.net,"Other, Other, Other, Other, Our law library is an Independent organization-not affilated with any governmnent or private organization.",,"Public Wi-Fi, Computer center(s), Online educational resources",,Mendocino,,In-Person,,Mendocino County Courthouse,"Courthouse, Room 307, 100 N. State st., Ukiah, CA, 95482.0, US",'+17074634201,M-F 9-4,,Coast Campus Mendocino Community College,"1211 Del Mar DR., Fort Bragg, CA, 95437.0, US",'+17079612200,Varies-generally 8:30-4:30 M-F,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Rural Communities, Our law library is an Independent organization-not affilated with any governmnent or private organization.",English,Information sharing,No. Our services are offered free of cost.,11/21/25 9:46
Mariposa County Library,4978 10th STreet,Mariposa,CA,95338,'+12099662140,https://www.mariposalibrary.org,Matt Johnson,County Librarian,mjohnson@mariposacounty.org,"Library, County Government",,"Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources",,Mariposa,,In-Person,,Mariposa County Library,"4978 10th Street, Mariposa, CA, 95338.0, US",'+12099662140,"Monday 9AM to 4 PM, Tuesday through Thursday 9AM to 7PM, Friday 9AM to 4 PM, Saturday 9AM to 4PM",https://www.mariposalibrary.org,El Portal Library,"9670 Rancheria Flat Rd, El Portal, CA, 95318.0, US",'+12093792401,"Tuesday and Thursday, 11:30 AM to 6 PM",www.mariposalibrary.org,Red Cloud Library,"10332-C Fiske Road, Coulterville, CA, 95311.0, US",'+12098783692,Wednesdays: 10:30am to 4pm; Thursdays: 10:30am - 4pm; Saturdays: 11am - 2 pm,www.mariposalibrary.org,Yosemite Valley Library,"58 Cedar Court, Yosemite, CA, 95389.0, US",'+12093724552,Tuesdays: 10:30am - 5pm; Wednesdays: 10:30am - 5pm,https://www.mariposalibrary.org,Wawona Library,"7971 Chilnualna Falls Rd, Wawona, CA, 95389.0, US",'+12093756510,Tuesday: 12pm - 5pm; Thursday: 12pm - 5pm; Saturday: 10am - 3pm,https://www.mariposalibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Rural Communities",English,,No. Our services are offered free of cost.,11/21/25 9:38
Folsom Public Library,411 Stafford Street,Folsom,CA,95630,'+19164616130,https://www.library.folsom.ca.us,Thomas Gruneisen,Library Director,libstaff@folsom.ca.us,"Library, City Government",,"Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Sacramento,Folsom (Sacramento County.),In-Person,,"Folsom Public Library, Georgia Murray Building","411 Stafford Street, Folsom, CA, 95630.0, US",'+19164616130,"Sunday & Monday: CLOSED; Tuesday & Wednesday: 10:00am-7:00pm; Thursday, Friday, Saturday: 10:00am-5:00pm",https://www.library.folsom.ca.us,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Other",Partnership opportunities,No. Our services are offered free of cost.,11/21/25 9:26
Brightscape Networks,880 Cal Center Dr.,Sacramento,CA,95826,'+19169093940,https://brightscapenetworks.org,Brian Court,Senior Director,brian.court@brightscapenetworks.org,"Community-based Organization / Non-profit (501c3), Other, Other, Not-for-profit 501(c)3 Broadband Consulting Organization",,Locating low-cost internet service programs,,,,Virtually,https://brightscapenetworks.org,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s more than $25.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Not-for-profit 501(c)3 Broadband Consulting Organization",English,"Digital equity grant writing, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,11/20/25 13:48
City of Gardena,1700 W. 162nd Street,Gardena,CA,90247,'+13102179500,https://www.cityofgardena.org,Mark E Henderson,Mayor Pro Tem,mhenderson@cityofgardena.org,"Other, City Government, Other, Other, Municipal entity",,"Public Wi-Fi, Computer center(s), Workforce development resources",,Los Angeles,Gardena (Los Angeles County.),In-Person,,Rowley Park,"13220 Van Ness Ave, Gardena, CA, 90249.0, US",'+13102179500,8a to 10p,https://cityofgardena.org/,Johnson Park,"1200 W 170th St, Gardena, CA, 90247.0, US",'+13102179500,8a to 10p,https://cityofgardena.org/,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Municipal entity","English, Spanish, Japanese","Other, No",No. Our services are offered free of cost.,11/20/25 13:40
Community Health Centers of the Central Coast,2050 S. Blosser Rd.,Santa Maria,CA,93458,'+18666144636,https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",,"Digital navigation (in-person or virtual/call center), Technical support, Online educational resources, Workforce development resources",,"San Luis Obispo, Santa Barbara",,"Virtually, In-Person",https://www.communityhealthcenters.org/patient-resources/patient-portal/,Community Health Centers of the Central Coast,"2050 S. Blosser Rd., Santa Maria, CA, 93458.0, US",,"8:00am - 5:00pm, Monday - Friday",https://www.communityhealthcenters.org/health-services/,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s more than $25.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Non-Profit, Federally Qualified Health Center","English, Spanish","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/20/25 11:32
Glenn Adult Education Program,129 E. Walker St,Orland,CA,95963,'+15309366980,https://www.glenncoe.org/apps/pages/index.jsp?uREC_ID=4380731&type=d&pREC_ID=2585888,Melinda Tuma,Administrative Assistant,mtuma@glenncoe.org,"Other, County Government",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training",,"Butte, Glenn, Tehama",,"Virtually, In-Person",https://www.glenncoe.org/apps/pages/index.jsp?uREC_ID=4380731&type=d&pREC_ID=2585888,Glenn Adult Education,"129 E. Walker St, Orland, CA, 95963.0, US",'+15309366980,"M-TH 8am-5pm, Fridays 8am-4:30pm",https://www.glenncoe.org/apps/pages/index.jsp?uREC_ID=4380731&type=d&pREC_ID=2585888,Glenn Adult Education,"451 S. Villa Ave, Willows, CA, 95988.0, US",'+15309346320,"M-TH 8am-5pm, Fridays 8am-4:30pm",https://www.glenncoe.org/apps/pages/index.jsp?uREC_ID=4380731&type=d&pREC_ID=2585888,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No. Our services are offered free of cost.,11/20/25 10:38
Pinto Reconnect,"240 N 12th Avenue, Suite 109 PMB 235",Hanford,CA,93230,'+15599337441,https://pintoreconnect.org,Sheila Williamson,Communications Coordinator,sheila@pintoreconnect.org,"Community-based Organization / Non-profit (501c3), Foundation / Philanthropic Organization",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Computer center(s), Online educational resources, Workforce development resources",,"Fresno, Kern, Kings, Madera, Merced, San Joaquin, Stanislaus, Tulare",,"Virtually, In-Person",https://pintoreconnect.org,Church of the Nazarene,"6258 Murphy Avenue, Laton, CA, 93242.0, US",'+15599337441,M-Th 6:00 am - 9:00 pm,https://pintoreconnect.org,Live the Word Ministries,"3757 S Ward Avenue, Fresno, CA, 93725.0, US",'+15599337441,M-Th 6:00 am - 9:00 pm,pintoreconnect.org,Kettleman City Family Resource Center,"75 5th Street, Kettleman City, CA, 93239.0, US",'+15599337441,M-Th 6:00 am - 9:00 pm,pintoreconnect.org,Reef-Sunset Unified School District,"Family Engagement Center, 205 N. Park Avenue, Avenal, CA, 93204.0, US",'+15599337441,M-Th 6:00 am - 9:00 pm,https://pintoreconnect.org,Riverdale Joint Unified School District,"3160 W Mount Whitney Avenue, Riverdale, CA, 93656.0, US",'+15599337441,M-Th 6:00 am - 9:00 pm,https://pintoreconnect.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,11/20/25 8:36
iFoster,PO Box 159,Truckee,CA,96160,'+18559367837,https://www.ifoster.org,Sarah Washington,Resource Management Manager,sarah@ifoster.org,"Community-based Organization / Non-profit (501c3), Other",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital literacy & skills training, Free/Low-cost devices, Online educational resources, Workforce development resources",,,,Virtually,https://www.ifoster.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Other","English, Spanish, Other, We are a national organization providing services to current/former foster youth and opportunity youth across the US","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/19/25 15:48
City of Carmel-by-the-Sea,PO Box CC,Carmel-by-the-Sea,CA,93921,'+18316202000,https://ci.carmel.ca.us/,Emily Garay,Administrative Analyst,egaray@ci.carmel.ca.us,City Government,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Public Wi-Fi, Computer center(s)",,Monterey,Carmel-by-the-Sea (Monterey County.),In-Person,,Harrison Memorial Library,"Corner of Ocean Ave & Lincoln St, Carmel-by-the-Sea, CA, 93921.0, US",,10:00am - 6:00pm,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+)",English,Information sharing,No. Our services are offered free of cost.,11/19/25 15:15
The Fiber Optic Association Inc.,1223 Wilshire Blvd. #820,Santa Monica,CA,90403,'+17604513655,https://www.foa.org/,Jim Hayes,President,jim@foa.org,"Other, Other, International professional association and certifying body for fiber optics",,"Online educational resources, Workforce development resources",,,,Virtually,https://www.foa.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Incarcerated Individuals, Veterans, Individuals with Disabilities, Rural Communities, International professional association and certifying body for fiber optics","English, Spanish, French, Other, Worldwide","Other, We help organizations set up training and certification programs for fiber optic technicians",Yes. We charge a fee for our services.,11/19/25 14:59
FLORECER,2224 E 25th Street,Yuma,AZ,85365,'+18318094721,https://www.floreceryuma.org,Audren Morris-Sandoval,Founder/Executive Director,audren@floreceryuma.org,Community-based Organization / Non-profit (501c3),,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Workforce development resources",,,,In-Person,,San Pasqual Valley High School,"676 Baseline Road, Winterhaven, CA, 92283.0, US",,,https://www.floreceryuma.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Incarcerated Individuals, Ethnic or Minority Communities, Rural Communities","English, Spanish",,No. Our services are offered free of cost.,11/19/25 14:55
Familias Empoderadas del Valle Central,2901 N 3rd St,Fresno,CA,93703,'+15596972779,http://www.familiasempoderadas.org,Alicia Aleman,EXECUTIVE DIRECTOR,aliscfe@familiasempoderadas.org,"Community-based Organization / Non-profit (501c3), Other",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Online educational resources",,,,In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Hindi, Punjabi, Other",Partnership opportunities,No. Our services are offered free of cost.,11/19/25 14:47
Cisco Systems,3098 Olsen Drive,San Jose,CA,95128,'+14085279731,https://www.cisco.com,Kurt Kuzur,"Purpose Program Manager, Cisco Networking Academy",kkuzur@cisco.com,For-Profit Corporation or Business,,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Online educational resources, Workforce development resources",,,,Virtually,https://www.netacad.com/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Farsi, Arabic, Hindi, Russian, Japanese, French, Khmer","Organizational training, Train-the-trainer, Partnership opportunities, Collective action",No. Our services are offered free of cost.,11/19/25 14:04
"CITRIS and the Banatao Institute, UC Berkeley",330 Sutardja Dai Hall,Berkeley,CA,94720,'+14089819163,https://citris-uc.org/,Jolie Lam,Program Director - Health Initiatives,gbic_jolie_yanyan@berkeley.edu,Public or State University,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,,,"Virtually, In-Person",https://citris-uc.org/labs-programs/innovation-hub/,CITRIS and the Banatao Institute,"CITRIS and the Banatao Institute, UC Berkeley, 330 Sutardja Dai Hall, Berkeley, CA, 94720.0, US",'+14989819163,8:00am to 6:00pm,https://citris-uc.org/about/,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,No,"English, Spanish, Mandarin, Cantonese","Digital equity grant writing, Organizational training, Train-the-trainer, Mutual aid (financial), Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/19/25 10:30
