Name of Organization,Organization Address,Organization City,"Organization State
(Drop-down options)",Organization Zip/Postal Code,Business Phone Number,Hours of Operation,Webpage,Name of Point of Contact,Position/Title,Business Email Address,"Type of Organization
(Response options in Question 3 of the Read-Me.)",What digital inclusion service(s) does your entity/organization provide to individuals? (Response options in Question 4 of the Read-Me.),"What is your entity/organization's service area?
(Drop-down options)",Please indicate all the counties in which you provide services.(Response options in Question 6 of the Read-Me).,Please indicate all the cities in which you provide services.,"In-Person or Virtual Services
(Drop-down options)","Does your entity/organization charge for its services?
(Drop-down options)","Does your entity/organization serve individuals at or below 150% of the Federal Poverty Level?
(Drop-down options)","If yes, does your entity/organization serve any additional populations? (Response options in Question 10a of the Read-Me).",What language(s) does your entity/organization provide its services in?,Does your entity/organization provide any of the following support or services to other organizations? (Response options in Question 12 of the Read-Me.),"Does your entity/organization charge for its services?
(Drop-down options)",,,
digitalLIFT,1390 Market Street Suite 200,San Francisco,CA,94102,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,"Alameda, Contra Costa, Marin, San Francisco, Solano","Alameda County: Oakland, Hayward
Contra Costa County: Oakley
Marin County: San Rafael
Solano County: Suisun City, Fairfield, Rio Vista, Vallejo
San Francisco County: San Francisco",Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Mandarin, Cantonese, Russian","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT -  Mechanic's Institute,57 Post Street,San Franciaco,CA,94104,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,San Francisco,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese, Russian","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - 30th Street Senior Center,225 30th Street              ,San Franciaco,CA,94131,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,San Francisco,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese, Russian","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - Adult Recreation Center,1200 Harry Price Dr ,Fairfield,CA,94533,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),Digital literacy & skills training,City-wide or across multiple cities,Solano,Fairfield,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - Bernal Heights,515 Cortland Avenue,San Franciaco,CA,94110,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,San Francisco,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese, Russian","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - Bookman Community Center,446 Randolph Street,San Franciaco,CA,94132,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,San Francisco,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese, Russian","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - Buchanan YMCA,1530 Buchanan St,San Franciaco,CA,94115,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,San Francisco,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese, Russian","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - Canon Kip Senior Center,705 Natoma Street       ,San Franciaco,CA,94103,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,San Francisco,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Mandarin, Cantonese, Russian","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - Capp Street Senior Center,362 Capp Street,San Franciaco,CA,94110,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,San Francisco,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese, Russian","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - Centro Latino de San Francisco,1656 15th Street,San Franciaco,CA,94103,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,San Francisco,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - Chinatown YMCA ,855 Sacramento St,San Franciaco,CA,94108,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,San Francisco,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese, Russian","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - Curry Senior Center ,315 Turk Street,San Franciaco,CA,94102,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,San Francisco,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese, Russian","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - Downtown Oakland Senior Center,200 Grand Ave,Oakland,CA,94610,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),Digital literacy & skills training,City-wide or across multiple cities,Alameda,Oakland,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Mandarin, Cantonese","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - East Oakland Senior Center,9161 Edes Ave,Oakland,CA,94603,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),Digital literacy & skills training,City-wide or across multiple cities,Alameda,Oakland,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - Eastern Park Apartments,711 Eddy Street,San Franciaco,CA,94109,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,San Francisco,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese, Russian","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - Hayward Public Library (Downtown),888 C Street,Hayward,CA,94541,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),Digital literacy & skills training,City-wide or across multiple cities,Alameda,Hayward,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
digitalLIFT - Hayward Public Library (Weekes Branch),27300 Patrick Avenue,Hayward,CA,94544,(855) 983-0318,Please contact us for current schedule.,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,Community-based organization/Non-profit (501c3),Digital literacy & skills training,City-wide or across multiple cities,Alameda,Hayward,Both,No,Yes,"Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes,,,
