Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply.Â ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted,lat,long,google_maps_url,physical_county
digitalLIFT - Buchanan YMCA,1530 Buchanan St,San Franciaco,CA,94115,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - Buchanan YMCA,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,,In-Person,,digitalLIFT - Buchanan YMCA,San Franciaco,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Buchanan YMCA,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Buchanan YMCA,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Buchanan YMCA,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Buchanan YMCA,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.78418,-122.42923,"https://www.google.com/maps?q=37.78418,-122.42923",San Francisco
digitalLIFT - Canon Kip Senior Center,705 Natoma Street       ,San Franciaco,CA,94103,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - Canon Kip Senior Center,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,,In-Person,,digitalLIFT - Canon Kip Senior Center,San Franciaco,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Canon Kip Senior Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Canon Kip Senior Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Canon Kip Senior Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Canon Kip Senior Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.776338,-122.412336,"https://www.google.com/maps?q=37.776338,-122.412336",San Francisco
digitalLIFT - Capp Street Senior Center,362 Capp Street,San Franciaco,CA,94110,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - Capp Street Senior Center,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,,In-Person,,digitalLIFT - Capp Street Senior Center,San Franciaco,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Capp Street Senior Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Capp Street Senior Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Capp Street Senior Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Capp Street Senior Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.760988,-122.418499,"https://www.google.com/maps?q=37.760988,-122.418499",San Francisco
digitalLIFT - Centro Latino de San Francisco,1656 15th Street,San Franciaco,CA,94103,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - Centro Latino de San Francisco,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,,In-Person,,digitalLIFT - Centro Latino de San Francisco,San Franciaco,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Centro Latino de San Francisco,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Centro Latino de San Francisco,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Centro Latino de San Francisco,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Centro Latino de San Francisco,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.76678,-122.421247,"https://www.google.com/maps?q=37.76678,-122.421247",San Francisco
digitalLIFT - Chinatown YMCA ,855 Sacramento St,San Franciaco,CA,94108,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - Chinatown YMCA ,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,,In-Person,,digitalLIFT - Chinatown YMCA ,San Franciaco,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Chinatown YMCA ,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Chinatown YMCA ,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Chinatown YMCA ,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Chinatown YMCA ,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.79311,-122.406874,"https://www.google.com/maps?q=37.79311,-122.406874",San Francisco
digitalLIFT - Curry Senior Center ,315 Turk Street,San Franciaco,CA,94102,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - Curry Senior Center ,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,,In-Person,,digitalLIFT - Curry Senior Center ,San Franciaco,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Curry Senior Center ,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Curry Senior Center ,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Curry Senior Center ,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Curry Senior Center ,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.782543,-122.414338,"https://www.google.com/maps?q=37.782543,-122.414338",San Francisco
digitalLIFT - Downtown Oakland Senior Center,200 Grand Ave,Oakland,CA,94610,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - Downtown Oakland Senior Center,,Digital literacy & skills training,City-wide or across multiple cities,Alameda,,In-Person,,digitalLIFT - Downtown Oakland Senior Center,Oakland,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Downtown Oakland Senior Center,Oakland,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Downtown Oakland Senior Center,Oakland,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Downtown Oakland Senior Center,Oakland,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Downtown Oakland Senior Center,Oakland,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.811371,-122.261433,"https://www.google.com/maps?q=37.811371,-122.261433",Alameda
digitalLIFT - East Oakland Senior Center,9161 Edes Ave,Oakland,CA,94603,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - East Oakland Senior Center,,Digital literacy & skills training,City-wide or across multiple cities,Alameda,,In-Person,,digitalLIFT - East Oakland Senior Center,Oakland,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - East Oakland Senior Center,Oakland,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - East Oakland Senior Center,Oakland,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - East Oakland Senior Center,Oakland,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - East Oakland Senior Center,Oakland,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.737944,-122.189293,"https://www.google.com/maps?q=37.737944,-122.189293",Alameda
digitalLIFT - Eastern Park Apartments,711 Eddy Street,San Franciaco,CA,94109,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - Eastern Park Apartments,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,,In-Person,,digitalLIFT - Eastern Park Apartments,San Franciaco,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Eastern Park Apartments,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Eastern Park Apartments,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Eastern Park Apartments,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Eastern Park Apartments,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.782769,-122.419565,"https://www.google.com/maps?q=37.782769,-122.419565",San Francisco
digitalLIFT - Hayward Public Library (Downtown),888 C Street,Hayward,CA,94541,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - Hayward Public Library (Downtown),,Digital literacy & skills training,City-wide or across multiple cities,Alameda,,In-Person,,digitalLIFT - Hayward Public Library (Downtown),Hayward,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Hayward Public Library (Downtown),Hayward,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Hayward Public Library (Downtown),Hayward,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Hayward Public Library (Downtown),Hayward,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Hayward Public Library (Downtown),Hayward,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.671001,-122.083382,"https://www.google.com/maps?q=37.671001,-122.083382",Alameda
